2025-11-25 14:51:51,541 - INFO - Starting new AI run: unnamed
2025-11-25 14:51:51,542 - INFO - Game controller initialized
2025-11-25 14:51:51,542 - INFO - Game started
2025-11-25 14:52:08,193 - INFO - Starting game in human mode
2025-11-25 14:52:26,467 - INFO - Starting game in astar mode
2025-11-25 14:52:31,307 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:52:31,345 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:52:31,382 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:52:31,420 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:52:31,457 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:52:31,494 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:52:31,532 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:31,569 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:31,606 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:31,644 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:31,682 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:31,719 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:31,756 - INFO - ASTAR found path: length=9, nodes_expanded=15
2025-11-25 14:52:31,793 - INFO - ASTAR found path: length=8, nodes_expanded=14
2025-11-25 14:52:31,831 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:31,869 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:31,906 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:31,944 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:31,981 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:32,018 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:32,054 - INFO - ASTAR found path: length=4, nodes_expanded=6
2025-11-25 14:52:32,092 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:32,129 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:32,167 - INFO - ASTAR found path: length=17, nodes_expanded=65
2025-11-25 14:52:32,205 - INFO - ASTAR found path: length=16, nodes_expanded=52
2025-11-25 14:52:32,243 - INFO - ASTAR found path: length=15, nodes_expanded=39
2025-11-25 14:52:32,280 - INFO - ASTAR found path: length=14, nodes_expanded=26
2025-11-25 14:52:32,318 - INFO - ASTAR found path: length=13, nodes_expanded=13
2025-11-25 14:52:32,355 - INFO - ASTAR found path: length=12, nodes_expanded=12
2025-11-25 14:52:32,392 - INFO - ASTAR found path: length=11, nodes_expanded=11
2025-11-25 14:52:32,431 - INFO - ASTAR found path: length=10, nodes_expanded=10
2025-11-25 14:52:32,468 - INFO - ASTAR found path: length=9, nodes_expanded=9
2025-11-25 14:52:32,505 - INFO - ASTAR found path: length=8, nodes_expanded=8
2025-11-25 14:52:32,542 - INFO - ASTAR found path: length=7, nodes_expanded=7
2025-11-25 14:52:32,580 - INFO - ASTAR found path: length=6, nodes_expanded=6
2025-11-25 14:52:32,618 - INFO - Visualization: OFF
2025-11-25 14:52:32,618 - INFO - ASTAR found path: length=5, nodes_expanded=5
2025-11-25 14:52:32,655 - INFO - ASTAR found path: length=4, nodes_expanded=4
2025-11-25 14:52:32,692 - INFO - ASTAR found path: length=3, nodes_expanded=3
2025-11-25 14:52:32,730 - INFO - ASTAR found path: length=2, nodes_expanded=2
2025-11-25 14:52:32,769 - INFO - ASTAR found path: length=11, nodes_expanded=32
2025-11-25 14:52:32,806 - INFO - ASTAR found path: length=10, nodes_expanded=24
2025-11-25 14:52:32,843 - INFO - ASTAR found path: length=9, nodes_expanded=16
